# page_id, page_title, page_namespace, rev_id, rev_timestamp, rev_datetime, text_id, txt, txt_ru
'353716', 'Сущ_ru_n_una', '10', '359688', '20081029221844', '2008/10/29 22:18:44', '359648', '#REDIRECT [[Шаблон:сущ ru n ina]]', NULL
'353739', 'Сущ_ru_f_una_8e', '10', '359712', '20081030224733', '2008/10/30 22:47:33', '359672', '#REDIRECT [[Шаблон:сущ ru f ina 8e]]', NULL
'353792', 'Сущ_ru_n_una_5*d', '10', '359766', '20081101004051', '2008/11/01 00:40:51', '359726', '#REDIRECT [[Шаблон:сущ ru n ina 5*d]]', NULL
'353799', 'Сущ_ru_f_una_8a', '10', '359773', '20081101012143', '2008/11/01 01:21:43', '359733', '#REDIRECT [[Шаблон:сущ ru f ina 8a]]', NULL
'497914', 'Сущ_ru-old', '10', '504312', '20100202071744', '2010/02/02 07:17:44', '504270', '<span style=\"font-family: Palatino Linotype, Arial Unicode MS;\"><b>{{{слоги|}}}</b></span>\n\nСуществительное.{{#ifeq:{{NAMESPACE}}|{{ns:Template}}||<includeonly>[[Категория:Существительные в дореформенной орфографии]]</includeonly>}}<noinclude>[[Категория:Шаблоны словоизменений/ru-old]]</noinclude>', NULL
'510411', 'Сущ_rup', '10', '516977', '20100623160040', '2010/06/23 16:00:40', '516931', '<b>{{{слоги|}}}</b>\n\nСуществительное.<includeonly>[[Категория:Арумынские существительные]]</includeonly><noinclude>[[Категория:Шаблоны словоизменений/rup]]</noinclude>', NULL
'513179', 'Сущ_run', '10', '519757', '20100725214146', '2010/07/25 21:41:46', '519711', '<b>{{{слоги|}}}</b>\n\nСуществительное.<includeonly>[[Категория:Существительные кирунди]]</includeonly><noinclude>[[Категория:Шаблоны словоизменений/run]]</noinclude>', NULL
'518436', 'Сущ_ru_m_ina_(с3a(1))', '10', '525068', '20100826210125', '2010/08/26 21:01:25', '525021', '#перенаправление [[Шаблон:сущ ru m ina (с3*a(1))]]', NULL
'519936', 'Сущ_ru_f_ina_(1a)^', '10', '526593', '20100913133142', '2010/09/13 13:31:42', '526546', '#перенаправление [[Шаблон:сущ ru f ina (1a^)]]', NULL
'554036', 'Сущ_rue', '10', '562424', '20110329195932', '2011/03/29 19:59:32', '562376', '<b>{{{слоги|}}}</b>\n\nСуществительное.<includeonly>[[Категория:Русинские существительные]]</includeonly><noinclude>[[Категория:Шаблоны словоизменений/rue]]</noinclude>', NULL
'565882', 'Сущ_ru-old_f_a_1a', '10', '574611', '20110816105034', '2011/08/16 10:50:34', '574563', '{{падежи ru-old\n|nom-sg={{{основа}}}а\n|nom-pl={{{основа}}}ы\n|gen-sg={{{основа}}}ы\n|gen-pl={{{основа}}}ъ\n|dat-sg={{{основа}}}ѣ\n|dat-pl={{{основа}}}амъ\n|acc-sg={{{основа}}}у\n|acc-pl={{{основа}}}ъ\n|ins-sg={{{основа}}}ой, {{{основа}}}ою\n|ins-pl={{{основа}}}ами\n|loc-sg={{{основа}}}ѣ\n|loc-pl={{{основа}}}ахъ\n}}\n<b>{{{слоги|}}}</b>\n\n[[существительное|Существительное]], одушевлённое, женский род, 1-е склонение (тип склонения 1a по классификации А. Зализняка).\n<includeonly>[[Категория:Одушевлённые/ru-old]]\n[[Категория:Женский род/ru-old]]\n[[Категория:Существительные в дореформенной орфографии, склонение 1a]]</includeonly>\n<noinclude>[[Категория:Шаблоны словоизменений/ru-old]]</noinclude>', NULL
'568345', 'Сущ_ru-old_n', '10', '577096', '20110913082204', '2011/09/13 08:22:04', '577048', '<b>{{{слоги|}}}</b>\n\nСуществительное, средний род.<includeonly>[[Категория:Русские существительные (дореформенная орфография)]][[Категория:Средний род/ru-old]]</includeonly><noinclude>[[Категория:Шаблоны словоизменений/ru-old]]</noinclude>', NULL
'574218', 'Сущ_rue_n_ina', '10', '583063', '20120101195300', '2012/01/01 19:53:00', '583015', '<b>{{{слоги|}}}</b> \n\nСуществительное, неодушевлённое, средний род.\n<includeonly>[[Категория:Русинские существительные]][[Категория:Средний род/rue]][[Категория:Неодушевлённые/rue]]</includeonly><noinclude>[[Категория:Шаблоны словоизменений/rue]]</noinclude>', NULL
'498496', 'Сущ_ru-old_m_ina', '10', '504905', '20121204210905', '2012/12/04 21:09:05', '504863', '<span style=\"font-family: Palatino Linotype, Arial Unicode MS;\"><b>{{{слоги|}}}</b></span>\n\n[[существительное|Существительное]], неодушевлённое, мужской род.<noinclude>[[Категория:Шаблоны словоизменений/ru-old]]</noinclude><includeonly>[[Категория:Нужна классификация по Зализняку/ru-old]][[Категория:Существительные в дореформенной орфографии]][[Категория:Мужской род/ru-old]][[Категория:Неодушевлённые/ru-old]]</includeonly>', NULL
